playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,imagine,0todbbT9g5uQGbeFCiBf2F,Ariana Grande,imagine,https://i.scdn.co/image/54e0a51655d5fe48e300cf47e3db0e9f35425428,0.714,0.474,G#,-4.993,major,0.039,0.374,0,0.106,0.376,62.484,212293,3,G# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),https://i.scdn.co/image/6660f96688785c4b222c32a53eeb484c68a10610,0.601,0.794,G,-5.844,minor,0.0671,0.00987,1.36e-6,0.388,0.244,114.066,217467,4,G minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Championships,https://i.scdn.co/image/77eb7c17cafe5503c5866117e0a3e5fc94620101,0.889,0.496,E,-6.365,minor,0.0905,0.259,0,0.252,0.544,86.003,180522,4,E minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,https://i.scdn.co/image/9f92262af6d017302030d673f2826260b777edaf,0.719,0.704,C#,-4.724,major,0.0476,0.0691,0,0.166,0.628,133.002,187436,4,C# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89,0.753,0.498,D,-5.61,major,0.0504,0.551,0,0.0706,0.927,89.95,158053,4,D major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Bad Liar,2RSHsoi04658QL5xgQVov3,Imagine Dragons,Origins (Deluxe),https://i.scdn.co/image/6ac2ed0481154149e2ca501b5dcbe3c1ac937c43,0.383,0.637,D#,-6.993,major,0.0703,0.0722,0,0.368,0.0827,177.913,260773,4,D# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Hoodie SZN,https://i.scdn.co/image/388171ca9cd00260701aa984ba622d3929c6d389,0.791,0.587,D#,-5.075,minor,0.0413,0.407,0,0.148,0.536,96.057,179449,4,D# minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",https://i.scdn.co/image/77eb7c17cafe550337bbb4711235a0128db66a66,0.724,0.647,C#,-5.642,major,0.0658,0.28,0,0.102,0.435,106.96,207333,4,C# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Project Dreams,0PowxVSTY2uh1CPc8EPKyX,Marshmello,Project Dreams,https://i.scdn.co/image/7bd761b531773e9eb02fcfff6ffefc9887dd3896,0.777,0.831,G#,-2.129,major,0.177,0.42,0,0.105,0.791,160.153,167898,4,G# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,Ruin My Life,https://i.scdn.co/image/8b27a24ee5d5d0ba7c172508718cf10941226535,0.665,0.699,B,-5.265,major,0.0578,0.423,0,0.0969,0.585,124.896,190932,4,B major
